Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,READM-30-HIP-KNEE-HRRP,242,,1.9095,10.8,5.6,38,07/01/2010,06/30/2013
PROVIDENCE HOSPITAL,090006,DC,READM-30-HIP-KNEE-HRRP,247,,1.7521,9.2,5.3,33,07/01/2010,06/30/2013
BEAUFORT COUNTY MEMORIAL HOSPITAL,420067,SC,READM-30-HIP-KNEE-HRRP,586,,1.5836,7.6,4.8,53,07/01/2010,06/30/2013
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,140208,IL,READM-30-HIP-KNEE-HRRP,965,,1.5760,9.0,5.7,95,07/01/2010,06/30/2013
BRAZOSPORT REGIONAL HEALTH SYSTEM,450072,TX,READM-30-HIP-KNEE-HRRP,149,,1.5308,8.2,5.4,20,07/01/2010,06/30/2013
WESTERN MISSOURI MEDICAL CENTER,260097,MO,READM-30-HIP-KNEE-HRRP,141,,1.5189,8.1,5.3,19,07/01/2010,06/30/2013
SAINT AGNES HOSPITAL,210011,MD,READM-30-HIP-KNEE-HRRP,390,,1.5079,7.8,5.2,38,07/01/2010,06/30/2013
MERCY HOSPITAL JEFFERSON,260023,MO,READM-30-HIP-KNEE-HRRP,178,,1.5019,9.2,6.1,24,07/01/2010,06/30/2013
ONSLOW MEMORIAL HOSPITAL,340042,NC,READM-30-HIP-KNEE-HRRP,98,,1.4953,7.9,5.3,15,07/01/2010,06/30/2013
FAUQUIER HOSPITAL,490023,VA,READM-30-HIP-KNEE-HRRP,256,,1.4844,7.4,5.0,26,07/01/2010,06/30/2013
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,310024,NJ,READM-30-HIP-KNEE-HRRP,121,,1.4776,9.0,6.1,18,07/01/2010,06/30/2013
MERCY ST ANNE HOSPITAL,360262,OH,READM-30-HIP-KNEE-HRRP,108,,1.4691,9.2,6.3,17,07/01/2010,06/30/2013
RESTON HOSPITAL CENTER,490107,VA,READM-30-HIP-KNEE-HRRP,780,,1.4612,6.7,4.6,59,07/01/2010,06/30/2013
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,READM-30-HIP-KNEE-HRRP,216,,1.4559,8.4,5.8,25,07/01/2010,06/30/2013
